dimension,categoria,indicador,valor
muestra_general,Muestra general,N personas estimadas,7925
muestra_general,Muestra general,N parametros,3
muestra_general,Muestra general,Log likelihood,-39648.5811205977
muestra_general,Muestra general,Metodo elegido,BFGS
muestra_general,Muestra general,Return code,0
muestra_general,Muestra general,PH,0.263265277714501
muestra_general,Muestra general,tw,0.296945634437791
muestra_general,Muestra general,th1,0.800107872737894
muestra_general,Muestra general,Tw observado promedio,53.1734977917981
muestra_general,Muestra general,Tw predicho promedio,53.919745244381
muestra_general,Muestra general,Tf1 ocio observado promedio,37.2715697160883
muestra_general,Muestra general,Tf1 ocio predicho promedio,37.0409257132205
muestra_general,Muestra general,Tf2 comidas observado promedio,9.76959242902208
muestra_general,Muestra general,Tf2 comidas predicho promedio,9.25398897930705
muestra_general,Muestra general,RMSE Tw,12.4230826659722
muestra_general,Muestra general,RMSE Tf1 ocio,12.3582568750529
muestra_general,Muestra general,RMSE Tf2 comidas,4.4942727323756
muestra_general,Muestra general,VoL predicho promedio,5.93748013440169
muestra_general,Muestra general,VoL predicho mediana,4.55725666670704
muestra_general,Muestra general,VoL observado promedio,7.59978181481792
muestra_general,Muestra general,VoL observado mediana,4.8008759107666
muestra_general,Muestra general,VTAW predicho promedio,1.92788869112094
muestra_general,Muestra general,VTAW observado promedio,3.59019037153717
muestra_general,Muestra general,Weighted wage rate promedio,4.00959144328076
muestra_general,Muestra general,N ingreso libre observado <= 0,2007
muestra_general,Muestra general,Porcentaje ingreso libre observado <= 0,0.253249211356467
muestra_general,Muestra general,N ingreso libre predicho <= 0,1
muestra_general,Muestra general,Porcentaje ingreso libre predicho <= 0,0.000126182965299685
muestra_general,Muestra general,N ingreso potencial neto Ec <= 0,0
muestra_general,Muestra general,Porcentaje ingreso potencial neto Ec <= 0,0
muestra_general,Muestra general,Media cierre temporal observado,168
muestra_general,Muestra general,Media cierre temporal predicho,168
muestra_general,Muestra general,Media diferencia cierre temporal predicho,-2.15180134488863e-17
edad,18 a 29,N personas estimadas,1697
edad,18 a 29,N parametros,3
edad,18 a 29,Log likelihood,-8122.58987093
edad,18 a 29,Metodo elegido,BFGS
edad,18 a 29,Return code,0
edad,18 a 29,PH,0.382410772351187
edad,18 a 29,tw,-0.403263812102991
edad,18 a 29,th1,0.850466116313019
edad,18 a 29,Tw observado promedio,39.6078078962876
edad,18 a 29,Tw predicho promedio,40.5638827815691
edad,18 a 29,Tf1 ocio observado promedio,44.345904537419
edad,18 a 29,Tf1 ocio predicho promedio,44.0349859932688
edad,18 a 29,Tf2 comidas observado promedio,8.38764289923394
edad,18 a 29,Tf2 comidas predicho promedio,7.74248655810261
edad,18 a 29,RMSE Tw,10.9596911986623
edad,18 a 29,RMSE Tf1 ocio,10.7993034675609
edad,18 a 29,RMSE Tf2 comidas,4.13085494839224
edad,18 a 29,VoL predicho promedio,2.06643800059824
edad,18 a 29,VoL predicho mediana,1.8661134684436
edad,18 a 29,VoL observado promedio,2.44892266059626
edad,18 a 29,VoL observado mediana,0.463749912559262
edad,18 a 29,VTAW predicho promedio,-1.38595064053316
edad,18 a 29,VTAW observado promedio,-1.00346598053515
edad,18 a 29,Weighted wage rate promedio,3.45238864113141
edad,18 a 29,N ingreso libre observado <= 0,737
edad,18 a 29,Porcentaje ingreso libre observado <= 0,0.43429581614614
edad,18 a 29,N ingreso libre predicho <= 0,0
edad,18 a 29,Porcentaje ingreso libre predicho <= 0,0
edad,18 a 29,N ingreso potencial neto Ec <= 0,0
edad,18 a 29,Porcentaje ingreso potencial neto Ec <= 0,0
edad,18 a 29,Media cierre temporal observado,168
edad,18 a 29,Media cierre temporal predicho,168
edad,18 a 29,Media diferencia cierre temporal predicho,1.50733874409921e-16
edad,30 a 44,N personas estimadas,2517
edad,30 a 44,N parametros,3
edad,30 a 44,Log likelihood,-12019.3419596982
edad,30 a 44,Metodo elegido,BFGS
edad,30 a 44,Return code,0
edad,30 a 44,PH,0.206623043617328
edad,30 a 44,tw,0.578054489155566
edad,30 a 44,th1,0.801894126074872
edad,30 a 44,Tw observado promedio,61.4379896702424
edad,30 a 44,Tw predicho promedio,61.8585424939008
edad,30 a 44,Tf1 ocio observado promedio,35.3776519666269
edad,30 a 44,Tf1 ocio predicho promedio,35.3760861760441
edad,30 a 44,Tf2 comidas observado promedio,9.15855780691299
edad,30 a 44,Tf2 comidas predicho promedio,8.73957077383743
edad,30 a 44,RMSE Tw,11.2907502249235
edad,30 a 44,RMSE Tf1 ocio,11.0993121222613
edad,30 a 44,RMSE Tf2 comidas,3.96237043031567
edad,30 a 44,VoL predicho promedio,8.85576541399962
edad,30 a 44,VoL predicho mediana,6.3735402551201
edad,30 a 44,VoL observado promedio,11.2306392737444
edad,30 a 44,VoL observado mediana,7.48770242642739
edad,30 a 44,VTAW predicho promedio,4.54611240208066
edad,30 a 44,VTAW observado promedio,6.92098626182541
edad,30 a 44,Weighted wage rate promedio,4.30965301191895
edad,30 a 44,N ingreso libre observado <= 0,499
edad,30 a 44,Porcentaje ingreso libre observado <= 0,0.198251887167263
edad,30 a 44,N ingreso libre predicho <= 0,0
edad,30 a 44,Porcentaje ingreso libre predicho <= 0,0
edad,30 a 44,N ingreso potencial neto Ec <= 0,0
edad,30 a 44,Porcentaje ingreso potencial neto Ec <= 0,0
edad,30 a 44,Media cierre temporal observado,168
edad,30 a 44,Media cierre temporal predicho,168
edad,30 a 44,Media diferencia cierre temporal predicho,-5.64594942995709e-17
edad,45 a 59,N personas estimadas,2336
edad,45 a 59,N parametros,3
edad,45 a 59,Log likelihood,-11480.9222735765
edad,45 a 59,Metodo elegido,BFGS
edad,45 a 59,Return code,0
edad,45 a 59,PH,0.150621705374593
edad,45 a 59,tw,0.707550519033556
edad,45 a 59,th1,0.775827251311791
edad,45 a 59,Tw observado promedio,56.8476797945205
edad,45 a 59,Tw predicho promedio,57.355088341215
edad,45 a 59,Tf1 ocio observado promedio,34.3698330479452
edad,45 a 59,Tf1 ocio predicho promedio,34.3309847804681
edad,45 a 59,Tf2 comidas observado promedio,10.388386130137
edad,45 a 59,Tf2 comidas predicho promedio,9.91982585091961
edad,45 a 59,RMSE Tw,11.5252525162569
edad,45 a 59,RMSE Tf1 ocio,11.1966909620266
edad,45 a 59,RMSE Tf2 comidas,4.51480266661769
edad,45 a 59,VoL predicho promedio,12.8021214202359
edad,45 a 59,VoL predicho mediana,8.23803817465692
edad,45 a 59,VoL observado promedio,15.9056361489057
edad,45 a 59,VoL observado mediana,9.75167630700412
edad,45 a 59,VTAW predicho promedio,8.50081872246192
edad,45 a 59,VTAW observado promedio,11.6043334511317
edad,45 a 59,Weighted wage rate promedio,4.30130269777397
edad,45 a 59,N ingreso libre observado <= 0,547
edad,45 a 59,Porcentaje ingreso libre observado <= 0,0.23416095890411
edad,45 a 59,N ingreso libre predicho <= 0,1
edad,45 a 59,Porcentaje ingreso libre predicho <= 0,0.000428082191780822
edad,45 a 59,N ingreso potencial neto Ec <= 0,0
edad,45 a 59,Porcentaje ingreso potencial neto Ec <= 0,0
edad,45 a 59,Media cierre temporal observado,168
edad,45 a 59,Media cierre temporal predicho,168
edad,45 a 59,Media diferencia cierre temporal predicho,6.0834138335625e-17
edad,60 o mas,N personas estimadas,1375
edad,60 o mas,N parametros,3
edad,60 o mas,Log likelihood,-7055.54902631915
edad,60 o mas,Metodo elegido,BFGS
edad,60 o mas,Return code,0
edad,60 o mas,PH,0.207829158344853
edad,60 o mas,tw,0.494165278977212
edad,60 o mas,th1,0.768413872057792
edad,60 o mas,Tw observado promedio,48.5453963636364
edad,60 o mas,Tw predicho promedio,48.9513345779849
edad,60 o mas,Tf1 ocio observado promedio,36.9372436363636
edad,60 o mas,Tf1 ocio predicho promedio,36.9405188928899
edad,60 o mas,Tf2 comidas observado promedio,11.5424218181818
edad,60 o mas,Tf2 comidas predicho promedio,11.133208347307
edad,60 o mas,RMSE Tw,12.7119222270102
edad,60 o mas,RMSE Tf1 ocio,12.6737603034853
edad,60 o mas,RMSE Tf2 comidas,5.00330825586623
edad,60 o mas,VoL predicho promedio,8.35473542007617
edad,60 o mas,VoL predicho mediana,6.89388324822847
edad,60 o mas,VoL observado promedio,9.90192987651983
edad,60 o mas,VoL observado mediana,7.17145465150546
edad,60 o mas,VTAW predicho promedio,4.70232165207617
edad,60 o mas,VTAW observado promedio,6.24951610851983
edad,60 o mas,Weighted wage rate promedio,3.652413768
edad,60 o mas,N ingreso libre observado <= 0,224
edad,60 o mas,Porcentaje ingreso libre observado <= 0,0.162909090909091
edad,60 o mas,N ingreso libre predicho <= 0,0
edad,60 o mas,Porcentaje ingreso libre predicho <= 0,0
edad,60 o mas,N ingreso potencial neto Ec <= 0,0
edad,60 o mas,Porcentaje ingreso potencial neto Ec <= 0,0
edad,60 o mas,Media cierre temporal observado,168
edad,60 o mas,Media cierre temporal predicho,168
edad,60 o mas,Media diferencia cierre temporal predicho,0
sexo,Hombres,N personas estimadas,3107
sexo,Hombres,N parametros,3
sexo,Hombres,Log likelihood,-15550.5566208731
sexo,Hombres,Metodo elegido,BFGS
sexo,Hombres,Return code,0
sexo,Hombres,PH,0.40329042568188
sexo,Hombres,tw,0.0727513238403586
sexo,Hombres,th1,0.80830806049213
sexo,Hombres,Tw observado promedio,51.5504988735114
sexo,Hombres,Tw predicho promedio,52.0796409370456
sexo,Hombres,Tf1 ocio observado promedio,39.4176408110718
sexo,Hombres,Tf1 ocio predicho promedio,39.2913489733252
sexo,Hombres,Tf2 comidas observado promedio,9.72087544254908
sexo,Hombres,Tf2 comidas predicho promedio,9.31802521676152
sexo,Hombres,RMSE Tw,12.5455257211906
sexo,Hombres,RMSE Tf1 ocio,12.8227869522644
sexo,Hombres,RMSE Tf2 comidas,4.40130959210721
sexo,Hombres,VoL predicho promedio,5.22493956718711
sexo,Hombres,VoL predicho mediana,3.61402299859769
sexo,Hombres,VoL observado promedio,6.55503459723707
sexo,Hombres,VoL observado mediana,4.19468867340298
sexo,Hombres,VTAW predicho promedio,0.511749887753569
sexo,Hombres,VTAW observado promedio,1.84184491780353
sexo,Hombres,Weighted wage rate promedio,4.71318967943354
sexo,Hombres,N ingreso libre observado <= 0,533
sexo,Hombres,Porcentaje ingreso libre observado <= 0,0.171548117154812
sexo,Hombres,N ingreso libre predicho <= 0,1
sexo,Hombres,Porcentaje ingreso libre predicho <= 0,0.000321853878339234
sexo,Hombres,N ingreso potencial neto Ec <= 0,0
sexo,Hombres,Porcentaje ingreso potencial neto Ec <= 0,0
sexo,Hombres,Media cierre temporal observado,168
sexo,Hombres,Media cierre temporal predicho,168
sexo,Hombres,Media diferencia cierre temporal predicho,9.14763740920631e-17
sexo,Mujeres,N personas estimadas,4818
sexo,Mujeres,N parametros,3
sexo,Mujeres,Log likelihood,-23955.5355411986
sexo,Mujeres,Metodo elegido,BFGS
sexo,Mujeres,Return code,0
sexo,Mujeres,PH,0.208967596826955
sexo,Mujeres,tw,0.376855552302343
sexo,Mujeres,th1,0.794031241180129
sexo,Mujeres,Tw observado promedio,54.2201266085513
sexo,Mujeres,Tw predicho promedio,55.0015705735914
sexo,Mujeres,Tf1 ocio observado promedio,35.8876255707763
sexo,Mujeres,Tf1 ocio predicho promedio,35.6577120701207
sexo,Mujeres,Tf2 comidas observado promedio,9.80100871731009
sexo,Mujeres,Tf2 comidas predicho promedio,9.24947825292556
sexo,Mujeres,RMSE Tw,12.1230079397577
sexo,Mujeres,RMSE Tf1 ocio,11.9058873163425
sexo,Mujeres,RMSE Tf2 comidas,4.50397737086834
sexo,Mujeres,VoL predicho promedio,5.82437822103516
sexo,Mujeres,VoL predicho mediana,4.76554524194437
sexo,Mujeres,VoL observado promedio,7.59073936005556
sexo,Mujeres,VoL observado mediana,4.55345882201056
sexo,Mujeres,VTAW predicho promedio,2.26851855851959
sexo,Mujeres,VTAW observado promedio,4.03487969753999
sexo,Mujeres,Weighted wage rate promedio,3.55585966251557
sexo,Mujeres,N ingreso libre observado <= 0,1474
sexo,Mujeres,Porcentaje ingreso libre observado <= 0,0.305936073059361
sexo,Mujeres,N ingreso libre predicho <= 0,0
sexo,Mujeres,Porcentaje ingreso libre predicho <= 0,0
sexo,Mujeres,N ingreso potencial neto Ec <= 0,0
sexo,Mujeres,Porcentaje ingreso potencial neto Ec <= 0,0
sexo,Mujeres,Media cierre temporal observado,168
sexo,Mujeres,Media cierre temporal predicho,168
sexo,Mujeres,Media diferencia cierre temporal predicho,6.4889747558e-17
ingresos,Quintil bajo,N personas estimadas,5214
ingresos,Quintil bajo,N parametros,3
ingresos,Quintil bajo,Log likelihood,-25924.5159990469
ingresos,Quintil bajo,Metodo elegido,BFGS
ingresos,Quintil bajo,Return code,0
ingresos,Quintil bajo,PH,0.231423391067236
ingresos,Quintil bajo,tw,0.22114653982868
ingresos,Quintil bajo,th1,0.80128674508684
ingresos,Quintil bajo,Tw observado promedio,52.002027234369
ingresos,Quintil bajo,Tw predicho promedio,52.6688060490904
ingresos,Quintil bajo,Tf1 ocio observado promedio,37.1281377061757
ingresos,Quintil bajo,Tf1 ocio predicho promedio,37.0216414428537
ingresos,Quintil bajo,Tf2 comidas observado promedio,9.74137897967012
ingresos,Quintil bajo,Tf2 comidas predicho promedio,9.18109642827065
ingresos,Quintil bajo,RMSE Tw,11.8202118937891
ingresos,Quintil bajo,RMSE Tf1 ocio,11.9248660569032
