dimension,categoria,indicador,valor
muestra_general,Muestra general,N personas estimadas,7925
muestra_general,Muestra general,N parametros,3
muestra_general,Muestra general,Log likelihood,-39648.5811205977
muestra_general,Muestra general,Metodo elegido,BFGS
muestra_general,Muestra general,Return code,0
muestra_general,Muestra general,PH,0.263265277714501
muestra_general,Muestra general,tw,0.296945634437791
muestra_general,Muestra general,th1,0.800107872737894
muestra_general,Muestra general,Tw observado promedio,53.1734977917981
muestra_general,Muestra general,Tw predicho promedio,53.919745244381
muestra_general,Muestra general,Tf1 ocio observado promedio,37.2715697160883
muestra_general,Muestra general,Tf1 ocio predicho promedio,37.0409257132205
muestra_general,Muestra general,Tf2 comidas observado promedio,9.76959242902208
muestra_general,Muestra general,Tf2 comidas predicho promedio,9.25398897930705
muestra_general,Muestra general,RMSE Tw,12.4230826659722
muestra_general,Muestra general,RMSE Tf1 ocio,12.3582568750529
muestra_general,Muestra general,RMSE Tf2 comidas,4.4942727323756
muestra_general,Muestra general,VoL predicho promedio,5.93748013440169
muestra_general,Muestra general,VoL predicho mediana,4.55725666670704
muestra_general,Muestra general,VoL observado promedio,7.59978181481792
muestra_general,Muestra general,VoL observado mediana,4.8008759107666
muestra_general,Muestra general,VTAW predicho promedio,1.92788869112094
muestra_general,Muestra general,VTAW observado promedio,3.59019037153717
muestra_general,Muestra general,Weighted wage rate promedio,4.00959144328076
muestra_general,Muestra general,N ingreso libre observado <= 0,2007
muestra_general,Muestra general,Porcentaje ingreso libre observado <= 0,0.253249211356467
muestra_general,Muestra general,N ingreso libre predicho <= 0,1
muestra_general,Muestra general,Porcentaje ingreso libre predicho <= 0,0.000126182965299685
muestra_general,Muestra general,N ingreso potencial neto Ec <= 0,0
muestra_general,Muestra general,Porcentaje ingreso potencial neto Ec <= 0,0
muestra_general,Muestra general,Media cierre temporal observado,168
muestra_general,Muestra general,Media cierre temporal predicho,168
muestra_general,Muestra general,Media diferencia cierre temporal predicho,-2.15180134488863e-17
